Ticker;Name;Sector;Price;Dividend Yield;1-Year Dividend Growth;5-Year Dividend Growth (Annualized);Dividends Per Share (TTM);Market Cap ($M);Trailing P/E Ratio;Payout Ratio;Beta;52-Week High;52-Week Low
ANDE;Andersons Inc.;Consumer Defensive;51,6;0,014728682;0,027027027;0,022494395;0,737328072;1741,619764;29,50497668;0,426201198;0,988815017;58,58;34,92
ANF;Abercrombie & Fitch Co.;Consumer Cyclical;116,85;0;N/A;N/A;0;5889,884778;28,31552855;0;1,225081246;117,42;21,74
ANGO;Angiodynamic Inc;Healthcare;5,98;0;N/A;N/A;0;238,334042;N/A;0;1,036308221;13,3;5,67
ANIK;Anika Therapeutics Inc.;Healthcare;23,31;0;N/A;N/A;0;341,279053;N/A;0;0,838238907;32,33;16,54
ANIP;ANI Pharmaceuticals Inc;Healthcare;55,02;0;N/A;N/A;0;1123,876099;101,6806386;0;0,646561904;65,89;36,54
ANTX;AN2 Therapeutics Inc;N/A;3,9;0;N/A;N/A;0;115,991636;0;N/A;0,575290075;22,22;3,7
AOMR;Angel Oak Mortgage REIT Inc;N/A;10,22;0,119207127;N/A;N/A;1,218296841;255,1451;N/A;N/A;0,972460664;11,2;5,17
AORT;Artivion Inc;N/A;17,03;0;N/A;N/A;0;698,23;N/A;0;1,579822642;19;11,44
AOSL;Alpha & Omega Semiconductor Ltd;Technology;22,23;0;N/A;N/A;0;628,629121;N/A;0;1,647681294;35,4;20,03
APAM;Artisan Partners Asset Management Inc;Financial Services;41,34;0,065795839;0,36;0,021964513;1,732955811;2830,937817;14,76122794;0,571932611;1,452710141;45,92;27,59
APEI;American Public Education Inc;Consumer Defensive;10,97;0;N/A;N/A;0;195,086257;N/A;0;1,27618786;13,19;3,76
APG;APi Group Corporation;N/A;34,15;0;N/A;N/A;0;8044,345656;75,89005335;0;1,327444999;35,49;20,05
APLD;Applied Digital Corporation;Industrials;4,45;0;N/A;N/A;0;543,09908;N/A;0;2,584658897;11,62;1,74
APLE;Apple Hospitality REIT Inc;Real Estate;15,65;0,061341853;0;0,027066087;0,933652036;3580,832711;22,51586252;1,344544983;1,107064911;17,73;12,9
APLS;Apellis Pharmaceuticals Inc;Healthcare;66,17;0;N/A;N/A;0;7841,141361;0;N/A;0,833075801;94,75;19,83
APOG;Apogee Enterprises Inc.;Industrials;53,54;0,018677624;0,041666667;0,073940924;0,95681397;1182,436147;11,35876566;0,204011508;1,112905908;56,61;35,69
APPF;Appfolio Inc;Technology;230,06;0;N/A;N/A;0;5004,070489;1851,987598;0;1,473965047;242;113,58
APPH;AppHarvest Inc;N/A;0,0666;0;N/A;N/A;0;0;0;N/A;;;
APPN;Appian Corp;Technology;31,68;0;N/A;N/A;0;1322,028734;N/A;0;2,137768599;54,26;30,87
APPS;Digital Turbine Inc;Technology;3,51;0;N/A;N/A;0;358,09491;N/A;0;2,318425829;14,61;3,48
ARCB;ArcBest Corp;Industrials;139,34;0,002578285;0;0,084471771;0,359258174;3302,358;17,94954886;0,048548402;1,395374492;146,24;81,83
ARCH;Arch Resources Inc;Energy;170,06;0,062581299;0;-0,110910464;10,64257567;3123,83214;3,81129901;0,253394659;0,600282704;187,45;102,23
ARCT;Arcturus Therapeutics Holdings Inc;Healthcare;38,77;0;N/A;N/A;0;1036,063582;10,43062531;0;2,052058027;41,68;14,21
AREN;Arena Group Holdings Inc (The);N/A;1,17;0;N/A;N/A;0;27,886822;0;N/A;0,223300403;9,84;0,7703
ARGO;Argo Group International Holdings Ltd;Financial Services;29,99;0,010336779;N/A;N/A;0,310000002;1056,113355;N/A;N/A;;30,13;24,35
ARI;Apollo Commercial Real Estate Finance Inc;Real Estate;10,54;0,132827324;0;-0,05319173;1,337703519;1497,699376;36,08740244;4,553109324;1,639721982;12,39;7,63
ARIS;Aris Water Solutions Inc;N/A;8,54;0,041501512;N/A;N/A;0,354422909;257,471854;16,80845108;0,683159039;1,66043087;14,23;6,49
ARKO;ARKO Corp;N/A;7,88;0,015064816;N/A;N/A;0,118710747;920,456512;0;N/A;0,795208818;8,92;6,57
ARL;American Realty Investors Inc.;Real Estate;21,99;0;N/A;N/A;0;355,183426;7,171800617;0;0,305056099;31,59;11,69
ARLO;Arlo Technologies Inc;Industrials;8,64;0;N/A;N/A;0;817,591164;N/A;0;1,641057121;11,54;3,37
ARNC;Arconic Corporation;Industrials;29,99;0;N/A;N/A;0;3009,390455;N/A;0;1,237765427;30,02;16,33
AROC;Archrock Inc;Energy;16,18;0,03802693;0,1;0,045639553;0,615275733;2525,018294;31,16344701;1,171507489;0,967941273;16,68;8,37
AROW;Arrow Financial Corp.;Financial Services;23,44;0,046075085;0;0,007576624;1,271868544;399,775435;11,60821845;0,617411915;1,138866469;29,01;15,44
ARQT;Arcutis Biotherapeutics Inc;Healthcare;6,9;0;N/A;N/A;0;651,236311;N/A;0;1,855627666;17,57;1,76
ARR;ARMOUR Residential REIT Inc;Real Estate;18,41;0,156436719;-0,4;0,191357898;3,870369716;902,005019;N/A;N/A;1,385232067;24,44;12,58
ARRY;Array Technologies Inc;N/A;14,41;0;N/A;N/A;0;2179,029477;39,85349105;0;2,091818161;26,64;12,52
ARTNA;Artesian Resources Corp.;Utilities;35,18;0,03297328;0,04058908;0,033327514;1,124522204;330,535273;21,26449261;0,711722914;0,658180951;57,27;34,69
ARVN;Arvinas Inc;Healthcare;47,77;0;N/A;N/A;0;2628,568326;N/A;0;1,869120125;52,05;13,57
ARWR;Arrowhead Pharmaceuticals Inc.;Healthcare;29,92;0;N/A;N/A;0;3706,995667;N/A;0;1,044034517;42,48;20,67
ASAN;Asana Inc;N/A;18,5;0;N/A;N/A;0;3936,320369;N/A;0;2,237613045;26,27;14,32
ASB;Associated Banc-Corp.;Financial Services;19,73;0,044602129;0,047619048;0,052918489;0,834341223;2980,960834;17,49143803;0,738355064;1,663658952;23,08;13,92
ASC;Ardmore Shipping Corp;Energy;16,41;0,067932055;N/A;N/A;1,114765021;699,8865;0;N/A;0,767049262;18,38;11,28
ASGN;ASGN Inc;Industrials;92,16;0;N/A;N/A;0;4349,952;19,3675512;0;1,213836324;98,26;63,27
ASIX;AdvanSix Inc;Basic Materials;25,82;0,023440373;N/A;N/A;0,60523043;695,944018;7,456889258;0,182298322;1,13883928;43,18;23,77
ASLE;AerSale Corp;N/A;9,25;0;N/A;N/A;0;489,828478;76,99284462;0;1,430161447;20,81;8,32
ASO;Academy Sports and Outdoors Inc;N/A;68,01;0,00526881;N/A;N/A;0,358331795;5043,035626;9,914042781;0,055298116;1,151743763;71,13;42,69
ASPN;Aspen Aerogels Inc.;Industrials;14,33;0;N/A;N/A;0;1006,78175;N/A;0;2,383188927;17,32;5,33
ASTE;Astec Industries Inc.;Industrials;33,89;0,015197895;0;0,033975227;0,515056645;770,634741;43,78606485;0,663989486;1,250298323;55,86;28,73
ASTR;Astra Space Inc;N/A;1,92;0;N/A;N/A;0;36,07828;N/A;0;1,396853181;9,69;0,6212
ATEC;Alphatec Holdings Inc;Healthcare;15,97;0;N/A;N/A;0;2176,721604;N/A;0;1,605502029;19,14;8,66
ATEN;A10 Networks Inc;Technology;12,86;0,018537202;N/A;N/A;0,238388415;953,41468;23,78601103;0,449789462;0,694495683;15,85;9,99
ATER;Aterian Inc;N/A;0,39;0;N/A;N/A;0;35,178;N/A;0;2,400263727;1,4;0,2602
ATEX;Anterix Inc;Communication Services;30,67;0;N/A;N/A;0;575,665963;76,9915692;0;0,958674445;36,97;27,2
ATGE;Adtalem Global Education Inc;Consumer Defensive;49,63;0;N/A;N/A;0;1944,903864;16,54406608;0;0,478545398;62,99;33,59
ATHA;Athira Pharma Inc;N/A;3,15;0;N/A;N/A;0;119,871936;0;N/A;1,126505032;3,73;1,33
ATI;ATI Inc;Industrials;41,68;0;N/A;N/A;0;5317,418196;17,80186875;0;1,386305433;47,92;34,1
ATIP;ATI Physical Therapy Inc;N/A;7,16;0;N/A;N/A;0;30,114044;N/A;0;;21;5,78
ATKR;Atkore Inc;Industrials;142,89;0;N/A;N/A;0;5253,819815;8,146884361;0;1,680181515;165,69;116,14
ATLC;Atlanticus Holdings Corp;Financial Services;30,68;0;N/A;N/A;0;447,545635;5,938926659;0;1,929610443;43,7;21,65
ATNI;ATN International Inc;Communication Services;36,1;0,023673695;0,142857143;0,071402028;0,854620398;556,715464;N/A;N/A;0,707400364;46,07;27,2
ATOM;Atomera Inc;Technology;8,26;0;N/A;N/A;0;213,099889;N/A;0;2,740875353;10,72;4,96
ATRA;Atara Biotherapeutics Inc;Healthcare;0,7701;0;N/A;N/A;0;78,490325;N/A;0;3,31559567;4,68;0,1986
ATRC;Atricure Inc;Healthcare;31,71;0;N/A;N/A;0;1502,89805;0;N/A;1,220349437;59,61;30,74
ATRI;Atrion Corp.;Healthcare;341,2;0,025791325;0,023255814;0,102599478;8,552341521;600,456043;28,17851815;0,707975291;0,884347313;676,38;270,88
ATRO;Astronics Corp.;Industrials;18,21;0;N/A;N/A;0;508,949414;N/A;0;1,517966743;22,44;12,13
ATSG;Air Transport Services Group Inc;Industrials;14,39;0;N/A;N/A;0;939,277031;7,960919355;0;1,119410323;25,75;14,03
AUB;Atlantic Union Bankshares Corp;Financial Services;32,58;0,037515101;0,066666667;0,050611122;1,222241991;2444,027112;12,0060084;0,449353673;1,749459809;39,39;22,38
AUPH;Aurinia Pharmaceuticals Inc;Healthcare;7,78;0;N/A;N/A;0;1117,271516;0;N/A;1,698929254;12,43;6,94
AURA;Aura Biosciences Inc;N/A;8,01;0;N/A;N/A;0;306,461631;0;N/A;1,833677295;13,5;5,99
AVA;Avista Corp.;Utilities;32,31;0,058805323;0,045454545;0,034897231;1,804771742;2499,747544;15,1498933;0,827876946;0,601219765;43,46;30,13
AVAH;Aveanna Healthcare Holdings Inc;N/A;2,27;0;N/A;N/A;0;432,964257;N/A;0;1,798479286;3;0,85
AVAV;AeroVironment Inc.;Industrials;122,15;0;N/A;N/A;0;3436,702465;N/A;0;0,728155789;143,99;83,55
AVD;American Vanguard Corp.;Basic Materials;10,36;0,011540237;N/A;N/A;0,119556855;297,854548;67,11458946;0,771334548;0,866355345;22,42;8,39
AVDX;AvidXchange Holdings Inc;Healthcare;11,88;0;N/A;N/A;0;2413,393286;0;N/A;1,412263351;12,75;6,88
AVID;Avid Technology, Inc.;Communication Services;27,04;0;N/A;N/A;0;0;0;0;;;
AVIR;Atea Pharmaceuticals Inc;N/A;3,9;0;N/A;N/A;0;325,398501;0;N/A;0,974160184;5,19;2,77
AVNS;Avanos Medical Inc;Healthcare;18,54;0;N/A;N/A;0;860,730049;N/A;0;1,294082617;31,99;17,24
AVNT;Avient Corp;N/A;36,08;0,028547672;0,04040404;0,057178992;0,990161456;3289,104611;5,559676489;0,154471366;1,515245975;43,59;27,55
AVNW;Aviat Networks Inc;Technology;33,03;0;N/A;N/A;0;414,436526;27,40438579;0;1,140431869;37,84;21,15
AVO;Mission Produce Inc;N/A;10,15;0;N/A;N/A;0;717,906628;N/A;0;0,747278515;13,99;8,19
AVPT;AvePoint Inc;N/A;7,7;0;N/A;N/A;0;1414,195721;N/A;0;1,342130371;8,61;3,89
AVTA;Avantax Inc;N/A;25,99;0;N/A;N/A;0;0;0;0;;;
AVTE;Aerovate Therapeutics Inc;N/A;19;0;N/A;N/A;0;525,708853;0;N/A;1,936443908;28,43;9,41
AVXL;Anavex Life Sciences Corporation;Healthcare;5,575;0;N/A;N/A;0;457,777249;0;N/A;1,619504544;10,63;4,9
AWR;American States Water Co.;Utilities;74,44;0,023105857;0,081761006;0,093521062;1,64268773;2752,551801;22,41710754;0,496280281;0,603683812;93,68;73,83
AX;Axos Financial Inc.;Financial Services;51,81;0;N/A;N/A;0;2947,916932;7,340028515;0;2,199792771;60;32,05
BTAI;BioXcel Therapeutics Inc;Healthcare;2,46;0;N/A;N/A;0;74,739484;N/A;0;0,592585637;33,21;1,91
BTU;Peabody Energy Corp.;Energy;24,8;0,009042438;N/A;N/A;0,22425246;3251,28;2,710303434;0,029860514;0,829368445;30,91;17,59
BUSE;First Busey Corp.;Financial Services;22,41;0,041774523;0;0,027066087;0,936167064;1238,352039;9,438443013;0,401788439;1,234966064;25,53;15,37
